,Domain,position,available
0,petlycbd.com,"['owner', 'ceo', 'director']",0.0
1,betterbumper.com,"['owner', 'ceo', 'director']",0.0
2,rootoflife.org,"['owner', 'ceo', 'director']",0.0
3,aauraeverything.com,"['owner', 'ceo', 'director']",0.0
4,beautycos.de,"['owner', 'ceo', 'director']",0.0
5,antixgaming.com,"['owner', 'ceo', 'director']",0.0
6,antixpc.com,"['owner', 'ceo', 'director']",0.0
7,yourglamb.com,"['owner', 'ceo', 'director']",0.0
8,shareoriginalshop.com,"['owner', 'ceo', 'director']",0.0
9,caravelgourmet.com,"['owner', 'ceo', 'director']",0.0
10,clearrearclean.com,"['owner', 'ceo', 'director']",0.0
11,retrodealz.net,"['owner', 'ceo', 'director']",0.0
12,evolveskateboards.ca,"['owner', 'ceo', 'director']",0.0
13,jaxkelly.com,"['owner', 'ceo', 'director']",0.0
14,oeil-bleu.com,"['owner', 'ceo', 'director']",0.0
15,palladiumboots.de,"['owner', 'ceo', 'director']",0.0
16,palladiumboots.fr,"['owner', 'ceo', 'director']",0.0
17,tetematatena.com,"['owner', 'ceo', 'director']",0.0
18,jollyplaystore.com,"['owner', 'ceo', 'director']",0.0
19,speckyssupplements.com,"['owner', 'ceo', 'director']",0.0
20,superkindcookies.com,"['owner', 'ceo', 'director']",0.0
21,victorypremium.com,"['owner', 'ceo', 'director']",0.0
22,theshopsuite.com,"['owner', 'ceo', 'director']",0.0
23,ellalane.com,"['owner', 'ceo', 'director']",0.0
24,blackbh.com,"['owner', 'ceo', 'director']",0.0
25,protocol-lab.com,"['owner', 'ceo', 'director']",0.0
26,ikingmoore.com,"['owner', 'ceo', 'director']",0.0
27,hopemattress.com,"['owner', 'ceo', 'director']",0.0
28,gastownsupplyco.com,"['owner', 'ceo', 'director']",0.0
29,somethingnewbridalbox.com,"['owner', 'ceo', 'director']",0.0
30,goldenera-muscle.co,"['owner', 'ceo', 'director']",0.0
31,darbeauty.com,"['owner', 'ceo', 'director']",0.0
32,chickencoach.com,"['owner', 'ceo', 'director']",0.0
33,storethedress.com,"['owner', 'ceo', 'director']",0.0
34,thetattooclubus.com,"['owner', 'ceo', 'director']",0.0
35,zazashoo.com,"['owner', 'ceo', 'director']",0.0
36,cocodita.com,"['owner', 'ceo', 'director']",0.0
37,selbyrae.com,"['owner', 'ceo', 'director']",0.0
38,shoperazorbits.com,"['owner', 'ceo', 'director']",0.0
39,shoplivingwithlandyn.com,"['owner', 'ceo', 'director']",0.0
40,3barnswallows.com,"['owner', 'ceo', 'director']",0.0
41,fleetwoodmacshopuk.com,"['owner', 'ceo', 'director']",0.0
42,heritage-apothecary.com,"['owner', 'ceo', 'director']",0.0
43,shakiramerchandise-eu.com,"['owner', 'ceo', 'director']",0.0
44,troyesivanshop.com,"['owner', 'ceo', 'director']",0.0
45,vetstickers.com,"['owner', 'ceo', 'director']",0.0
46,firesafetyequipment.com,"['owner', 'ceo', 'director']",0.0
47,likeaprosupplements.com,"['owner', 'ceo', 'director']",0.0
48,iamsanna.com,"['owner', 'ceo', 'director']",0.0
49,shopwithmisa.com,"['owner', 'ceo', 'director']",0.0
50,mercantilemountain.com,"['owner', 'ceo', 'director']",0.0
51,menopausetea.com,"['owner', 'ceo', 'director']",0.0
52,moriahelizabethmerch.com,"['owner', 'ceo', 'director']",0.0
53,stickersbyrhonda.com,"['owner', 'ceo', 'director']",0.0
54,lolapaper.com,"['owner', 'ceo', 'director']",0.0
55,beddingaffairs.com,"['owner', 'ceo', 'director']",0.0
56,byjack.com,"['owner', 'ceo', 'director']",0.0
57,thebetterconditions.com,"['owner', 'ceo', 'director']",0.0
58,atacfitness.com,"['owner', 'ceo', 'director']",0.0
59,qisuperfoods.com,"['owner', 'ceo', 'director']",0.0
60,wood-maps.com,"['owner', 'ceo', 'director']",0.0
61,fullertonnutrition.com,"['owner', 'ceo', 'director']",0.0
62,alias-store.com,"['owner', 'ceo', 'director']",0.0
63,casouls.com,"['owner', 'ceo', 'director']",0.0
64,celestialfire.com,"['owner', 'ceo', 'director']",0.0
65,simfort.co,"['owner', 'ceo', 'director']",0.0
66,lonestarpokemonbreaks.com,"['owner', 'ceo', 'director']",0.0
67,anaclaires.com,"['owner', 'ceo', 'director']",0.0
68,deanova.com,"['owner', 'ceo', 'director']",0.0
69,donaldsontoritfilter.com,"['owner', 'ceo', 'director']",0.0
70,rubmedirty.com,"['owner', 'ceo', 'director']",0.0
71,officialflagpole.com,"['owner', 'ceo', 'director']",0.0
72,flavoredpbco.com,"['owner', 'ceo', 'director']",0.0
73,dri-glo.com,"['owner', 'ceo', 'director']",0.0
74,alexakelley.com,"['owner', 'ceo', 'director']",0.0
75,belovedlifejewelry.com,"['owner', 'ceo', 'director']",0.0
76,catacoffee.com,"['owner', 'ceo', 'director']",0.0
77,mylavendersun.com,"['owner', 'ceo', 'director']",0.0
78,harperlashcollective.com,"['owner', 'ceo', 'director']",0.0
79,militarymall.com,"['owner', 'ceo', 'director']",0.0
80,ghostbed.ca,"['owner', 'ceo', 'director']",0.0
81,elevatedwellnessllc.com,"['owner', 'ceo', 'director']",0.0
82,nakedcrystalz.com,"['owner', 'ceo', 'director']",0.0
83,somosnaturals.com,"['owner', 'ceo', 'director']",0.0
84,zendenpets.com,"['owner', 'ceo', 'director']",0.0
85,hedotrips.com,"['owner', 'ceo', 'director']",0.0
86,best-3g.com,"['owner', 'ceo', 'director']",0.0
87,nicolaskleiman.com,"['owner', 'ceo', 'director']",0.0
88,margotnewyork.com,"['owner', 'ceo', 'director']",0.0
89,mixelements.com,"['owner', 'ceo', 'director']",0.0
90,anhem.tech,"['owner', 'ceo', 'director']",0.0
91,shopmyhealth.com,"['owner', 'ceo', 'director']",0.0
92,bpishopping.com,"['owner', 'ceo', 'director']",0.0
93,lurvecorp.com,"['owner', 'ceo', 'director']",0.0
94,thebpalace.com,"['owner', 'ceo', 'director']",0.0
95,proudrightwinger.com,"['owner', 'ceo', 'director']",0.0
96,reikihealingstore.com,"['owner', 'ceo', 'director']",0.0
97,weartheshield.com,"['owner', 'ceo', 'director']",0.0
98,tableandtwinechs.com,"['owner', 'ceo', 'director']",0.0
99,pocobonkers.com,"['owner', 'ceo', 'director']",0.0
100,kallateralbeaute.com,"['owner', 'ceo', 'director']",0.0
101,ecojoyfrance.com,"['owner', 'ceo', 'director']",0.0
102,dronecosmo.com,"['owner', 'ceo', 'director']",0.0
103,zerodarkfriday.com,"['owner', 'ceo', 'director']",0.0
104,neverfuckingquit.com,"['owner', 'ceo', 'director']",0.0
105,abs2bfitness.com,"['owner', 'ceo', 'director']",0.0
106,acceleratedhealthproducts.com,"['owner', 'ceo', 'director']",0.0
107,adorb.co,"['owner', 'ceo', 'director']",0.0
108,artworktee.com,"['owner', 'ceo', 'director']",0.0
109,b-bungalow.com,"['owner', 'ceo', 'director']",0.0
110,badgebook.com,"['owner', 'ceo', 'director']",0.0
111,balmainpieces.com,"['owner', 'ceo', 'director']",0.0
112,barkband.com,"['owner', 'ceo', 'director']",0.0
113,benafique.com,"['owner', 'ceo', 'director']",0.0
114,bestpresso.com,"['owner', 'ceo', 'director']",0.0
115,brandedbillscustom.com,"['owner', 'ceo', 'director']",0.0
116,buyfurryfreshness.com,"['owner', 'ceo', 'director']",0.0
117,coiloverdepot.com,"['owner', 'ceo', 'director']",0.0
118,cozyarray.com,"['owner', 'ceo', 'director']",0.0
119,cupjewels.com,"['owner', 'ceo', 'director']",0.0
120,cushionsandcream.com,"['owner', 'ceo', 'director']",0.0
121,cyrixshealth.com,"['owner', 'ceo', 'director']",0.0
122,dancershaul.com,"['owner', 'ceo', 'director']",0.0
123,deminuage.com,"['owner', 'ceo', 'director']",0.0
124,dermalogica.com.sg,"['owner', 'ceo', 'director']",0.0
125,donttellmama-studio.com,"['owner', 'ceo', 'director']",0.0
126,epic-pr.com,"['owner', 'ceo', 'director']",0.0
127,eyedope.com,"['owner', 'ceo', 'director']",0.0
128,faithlets.com,"['owner', 'ceo', 'director']",0.0
129,familygiftgems.com,"['owner', 'ceo', 'director']",0.0
130,famishine.com,"['owner', 'ceo', 'director']",0.0
131,fore-ladies.com,"['owner', 'ceo', 'director']",0.0
132,go-kailo.com,"['owner', 'ceo', 'director']",0.0
133,goldenera-muscle.com,"['owner', 'ceo', 'director']",0.0
134,harryexpresse.com,"['owner', 'ceo', 'director']",0.0
135,hempcannlabs.com,"['owner', 'ceo', 'director']",0.0
136,hickies.eu,"['owner', 'ceo', 'director']",0.0
137,holfood.com,"['owner', 'ceo', 'director']",0.0
138,homebodyfriends.com,"['owner', 'ceo', 'director']",0.0
139,ivorycradle.com,"['owner', 'ceo', 'director']",0.0
140,jackpotorganics.co,"['owner', 'ceo', 'director']",0.0
141,jewelbond.com,"['owner', 'ceo', 'director']",0.0
142,jillnjacks.com,"['owner', 'ceo', 'director']",0.0
143,kronstadtbrand.com,"['owner', 'ceo', 'director']",0.0
144,kyoord.com,"['owner', 'ceo', 'director']",0.0
145,laraandlou.com,"['owner', 'ceo', 'director']",0.0
146,lawnbox.com,"['owner', 'ceo', 'director']",0.0
147,lecrae.store,"['owner', 'ceo', 'director']",0.0
148,leestaffordhair.com,"['owner', 'ceo', 'director']",0.0
149,lettersandloops.com,"['owner', 'ceo', 'director']",0.0
150,liddlme.com,"['owner', 'ceo', 'director']",0.0
151,likhacreations.com,"['owner', 'ceo', 'director']",0.0
152,littlemetalfoxes.com,"['owner', 'ceo', 'director']",0.0
153,maineroast.com,"['owner', 'ceo', 'director']",0.0
154,mainstreetexchangeapparel.com,"['owner', 'ceo', 'director']",0.0
155,medicpure.com,"['owner', 'ceo', 'director']",0.0
156,moppsypro.com,"['owner', 'ceo', 'director']",0.0
157,neverfxckingquit.com,"['owner', 'ceo', 'director']",0.0
158,onecompress.com,"['owner', 'ceo', 'director']",0.0
159,paintyournumbers.co,"['owner', 'ceo', 'director']",0.0
160,perfecthomebars.com,"['owner', 'ceo', 'director']",0.0
161,petphotosaver.com,"['owner', 'ceo', 'director']",0.0
162,phewbeauty.com,"['owner', 'ceo', 'director']",0.0
163,plantbasedjeff.com,"['owner', 'ceo', 'director']",0.0
164,podswag.com,"['owner', 'ceo', 'director']",0.0
165,pomelo-best.com,"['owner', 'ceo', 'director']",0.0
